site_no,year,value,count
02290829501,2004,0.516,5
02290829501,2005,0.0024999999999999935,8
02290829501,2006,0.5925,8
02290829501,2007,0.8054545454545454,11
02290829501,2008,0.24692307692307688,13
02290829501,2009,0.6108333333333333,12
02290829501,2010,0.6599999999999999,9
02290829501,2011,0.8875,4
02290829502,2003,-0.14,1
02290829502,2004,0.68,6
02290829502,2005,0.23333333333333334,9
02290829502,2006,0.6287499999999999,8
02290829502,2007,0.8677777777777779,9
02290829502,2008,0.2876923076923077,13
02290829502,2009,0.6425,12
02290829502,2010,0.7022222222222223,9
02290829502,2011,0.748,5
02290829502,2012,0.10200000000000001,5
02290829502,2013,0.082,5
02290829502,2014,0.5625,4
02290829502,2015,0.9700000000000001,3
02290829502,2016,0.0925,4
02290829502,2017,0.14666666666666672,3
02290829502,2018,-0.024999999999999994,4
02290829502,2019,0.156,5
02290829502,2020,-0.23000000000000004,2
02290829502,2021,0.006,5
02290829502,2022,-0.19749999999999998,4
02290829502,2023,-0.04999999999999999,3
02290829502,2024,-0.5533333333333333,3
02290829502,2025,0.37666666666666665,3
251052080220601,1980,-29.02,1
251052080220601,1985,-29.02,1
251241080385301,2002,-0.22666666666666668,3
251241080385301,2003,-0.25,1
251241080385301,2004,0.002222222222222212,9
251241080385301,2005,0.0575,12
251241080385301,2006,-0.07571428571428572,7
251241080385301,2007,0.13428571428571429,14
251241080385301,2008,0.05999999999999999,15
251241080385301,2009,-0.058499999999999996,20
251241080385301,2010,-0.08714285714285715,14
251241080385301,2011,0.165,10
251241080385301,2012,-0.06799999999999999,10
251241080385301,2013,-0.07399999999999998,5
251241080385301,2014,-0.11000000000000001,5
251241080385301,2015,-0.17833333333333334,6
251241080385301,2016,-0.24166666666666667,6
251241080385301,2017,-0.16749999999999998,4
251241080385301,2018,-0.09000000000000001,6
251241080385301,2019,-0.3466666666666667,6
251241080385301,2020,-0.32166666666666666,6
251241080385301,2021,-0.17,6
251241080385301,2022,-0.30833333333333335,6
251241080385301,2023,-0.375,6
251241080385301,2024,-0.4033333333333333,6
251241080385301,2025,0.040000000000000015,4
251241080385302,2001,0.99,1
251241080385302,2002,-0.55,2
251241080385302,2003,0.89,1
251241080385302,2004,0.036,5
251241080385302,2005,0.018571428571428555,7
251241080385302,2006,0.021666666666666657,6
251241080385302,2007,0.1357142857142857,7
251241080385302,2008,0.14375,8
251241080385302,2009,-0.136,10
251241080385302,2010,-0.086,10
251241080385302,2011,0.22999999999999998,8
